--- Cầu thủ mới được thêm vào ngày 16/12/2025 ---
  - ID: fed7cb61, Tên: Kai Havertz
  - ID: 64e17fab, Tên: Ayden Heaven
  - ID: 4fd08daa, Tên: Jan Paul van Hecke
  - ID: 169fd162, Tên: Hwang Hee-chan
  - ID: e5a76dfe, Tên: Dean Henderson
  - ID: 935e6b8f, Tên: Jordan Henderson
  - ID: 8a3c1dc7, Tên: Rico Henry
  - ID: c924b17d, Tên: Mads Hermansen
  - ID: 1780bb4a, Tên: Aaron Hickey
  - ID: 69942fb3, Tên: James Hill
  - ID: 0c7a48f8, Tên: Piero Hincapié
  - ID: e98211e7, Tên: Jack Hinshelwood
  - ID: 9a71e978, Tên: Ki-Jana Hoever
  - ID: 15f3ec41, Tên: Callum Hudson-Odoi
  - ID: a0666d3e, Tên: Will Hughes
  - ID: 4fa3a3a4, Tên: Trai Hume
  - ID: d2b32e91, Tên: Bashir Humphreys
  - ID: bd9553e6, Tên: Omari Hutchinson
  - ID: a4e85758, Tên: Igor
  - ID: 84c5ceea, Tên: Tim Iroegbunam
  - ID: b1be9fc0, Tên: Andy Irving
  - ID: 8e92be30, Tên: Alexander Isak
  - ID: a671316d, Tên: Wilson Isidor
  - ID: 6ca5ec4b, Tên: Alex Iwobi
  - ID: c931d9f9, Tên: Daniel James
  - ID: 1265a93a, Tên: Reece James
  - ID: 8449d35e, Tên: Vitaly Janelt
  - ID: 0f134faf, Tên: Mathias Jensen
  - ID: b66315ae, Tên: Gabriel Jesus
  - ID: dbe24cce, Tên: Igor Jesus
  - ID: faa13947, Tên: Álex Jiménez
  - ID: b561db50, Tên: Raúl Jiménez
  - ID: e8832875, Tên: João Pedro
  - ID: c17bfb65, Tên: Joelinton
  - ID: 33a235af, Tên: John
  - ID: 0cd31129, Tên: Brennan Johnson
  - ID: 9e5708be, Tên: Sam Johnstone
  - ID: 4fb9c88f, Tên: Curtis Jones
  - ID: b2fe86e5, Tên: Eli Junior Kroupi
  - ID: 570bb4b9, Tên: Hamed Junior Traorè
  - ID: fb614c44, Tên: James Justin
  - ID: 0107757e, Tên: Filip Jørgensen
  - ID: 66c52a77, Tên: Ferdi Kadioglu
  - ID: 15f24fe7, Tên: Sasa Kalajdzic
  - ID: bf4c41f9, Tên: Arnaud Kalimuendo
  - ID: 15b287da, Tên: Daichi Kamada
  - ID: cc77354e, Tên: Boubacar Kamara
  - ID: 0041f3e6, Tên: Mohamadou Kanté
  - ID: e19660a8, Tên: Michael Kayode
  - ID: c5b7c315, Tên: Michael Keane
  - ID: 62d7ef38, Tên: Caoimhín Kelleher
  - ID: 0ad53bdc, Tên: Milos Kerkez
  - ID: 93508980, Tên: Kevin
  - ID: d17ce930, Tên: Abdukodir Khusanov
  - ID: d0f72bf1, Tên: Max Kilman
  - ID: 86109b3b, Tên: Joshua King
  - ID: 4c3a6744, Tên: Justin Kluivert
  - ID: 16168a0f, Tên: Joe Knight
  - ID: c0b3669f, Tên: Randal Kolo Muani
  - ID: 5ed9b537, Tên: Ibrahima Konaté
  - ID: 0313a347, Tên: Ezri Konsa
  - ID: 816010c4, Tên: Charalampos Kostoulas
  - ID: 79c0821a, Tên: Mateo Kovačić
  - ID: 77cf6852, Tên: Emil Krafth
  - ID: 5b5c2228, Tên: Ladislav Krejčí
  - ID: b62878a5, Tên: Mohammed Kudus
  - ID: c7c26e61, Tên: Jonah Kusi-Asare
  - ID: 277c49ed, Tên: Maxence Lacroix
  - ID: 8e6d2fcd, Tên: Senne Lammens
  - ID: 450ab6fc, Tên: Jamaal Lascelles
  - ID: f0068e0f, Tên: Josh Laurent
  - ID: ecad9aa5, Tên: Roméo Lavia
  - ID: 6f806d99, Tên: Enzo Le Fée
  - ID: 2628fd2b, Tên: Bernd Leno
  - ID: 9b5ce51a, Tên: Jefferson Lerma
  - ID: b57e066e, Tên: Rico Lewis
  - ID: 41f08ac8, Tên: Keane Lewis-Potter
  - ID: 5dff6c28, Tên: Myles Lewis-Skelly
  - ID: d6e53a3a, Tên: Matthijs de Ligt
  - ID: f5deef4c, Tên: Victor Lindelöf
  - ID: afed6722, Tên: Valentino Livramento
  - ID: a2b105e0, Tên: Sean Longstaff
  - ID: 675cacff, Tên: Fer López
  - ID: 5d68f5b2, Tên: Lucas
  - ID: 881cd6be, Tên: Florentino Luís
  - ID: 6f7d826d, Tên: Douglas Luiz
  - ID: c6e8cf1f, Tên: Saša Lukić
  - ID: cab9634e, Tên: Ian Maatsen
  - ID: 83d074ff, Tên: Alexis Mac Allister
  - ID: bf34eebd, Tên: Noni Madueke
  - ID: 67ac5bb8, Tên: Gabriel Magalhães
  - ID: dfc5d4fa, Tên: Soungoutou Magassa
  - ID: d8931174, Tên: Harry Maguire
  - ID: c6220452, Tên: Kobbie Mainoo
  - ID: 116c35df, Tên: Donyell Malen
  - ID: d4b73232, Tên: Giorgi Mamardashvili
